TeamCode,Team Name,PrimaryColor,SecondaryColor,Division,Conf,NFL,FBS,Power 5,Conference  ,Logo
SCBC,BENEDICT COLLEGE,,,D2,D2,,0,0,D2,
FLBC,BETHUNE-COOKMAN,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
BLT,BLT,,,AFC NORTH,AFC,1,0,0,AFC,
VABL,BLUEFIELD COLLEGE,,,NAIA,NAIA,,0,0,NAIA,
MDBO,BOWIE STATE,,,D2,D2,,0,0,D2,
RIBR,BROWN,,,IAA,Ivy,0,0,0,Ivy League,
RIBT,BRYANT,,,IAA,Northeast,0,0,0,Northeast Conference,
PABU,BUCKNELL,,,IAA,Patriot,0,0,0,Patriot League,
BUF,BUF,,,AFC EAST,AFC,1,0,0,AFC,
INBU,BUTLER,,,IAA,Pioneer,0,0,0,Pioneer Football League,
CASL,CAL POLY ST,,,IAA,Big Sky,0,0,0,Big Sky Conference,
CASA,CAL ST-SACRAMENTO,,,IAA,Big Sky,0,0,0,Big Sky Conference,
CADA,CAL-DAVIS,,,IAA,Big Sky,0,0,0,Big Sky Conference,
NCCM,CAMPBELL,,,IAA,Pioneer,0,0,0,Pioneer Football League,
CAR,CAR,,,NFC SOUTH,NFC,1,0,0,NFC,
ARCE,CENTRAL ARKANSAS,,,IAA,Southland,0,0,0,ALL-STAR BOWL,
CTCE,CENTRAL CONNECTICUT ST,,,IAA,Northeast,0,0,0,Northeast Conference,
OHCE,CENTRAL STATE,,,D2,D2,,0,0,D2,
WACE,CENTRAL WASHINGTON,,,D2,D2,,0,0,D2,
SCCH,CHARLESTON SOUTHERN,,,IAA,Big South,0,0,0,Big South Conference,
CHI,CHI,,,NFC NORTH,NFC,1,0,0,NFC,
NCCH,CHOWAN,,,D2,D2,,0,0,D2,
CIN,CIN,,,AFC NORTH,AFC,1,0,0,AFC,
SCCI,CITADEL,,,IAA,Southern,0,0,0,Southern Conference,
GACL,CLARK ATLANTA,,,D2,D2,,0,0,D2,
CLV,CLV,,,AFC NORTH,AFC,1,0,0,AFC,
NYCG,COLGATE,,,IAA,Patriot,0,0,0,Patriot League,
NYCL,COLUMBIA,,,IAA,Ivy,0,0,0,Ivy League,
NECO,CONCORDIA,,,NAIA,NAIA,,0,0,NAIA,
NYCN,CORNELL-NY,,,IAA,Ivy,0,0,0,Ivy League,
TNCC,CUMBERLAND,,,NAIA,NAIA,,0,0,NAIA,
DAL,DAL,,,NFC EAST,NFC,1,0,0,NFC,
NHDA,DARTMOUTH,,,IAA,Ivy,0,0,0,Ivy League,
NCDA,DAVIDSON,,,IAA,Pioneer,0,0,0,Pioneer Football League,
OHDA,DAYTON,,,IAA,Pioneer,0,0,0,Pioneer Football League,
DEUN,DELAWARE,,,IAA,CAA,0,0,0,Colonial Athletic Association,
DEST,DELAWARE ST,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
DEN,DEN,,,AFC WEST,AFC,1,0,0,AFC,
DET,DET,,,NFC NORTH,NFC,1,0,0,NFC,
IADR,DRAKE,,,IAA,Pioneer,0,0,0,Pioneer Football League,
PADU,DUQUESNE,,,IAA,Northeast,0,0,0,Northeast Conference,
TNEA,EAST TENNESSEE ST,,,IAA,Southern,0,0,0,Southern Conference,
ILEA,EASTERN ILLINOIS,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
KYEA,EASTERN KENTUCKY,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
WAEA,EASTERN WASHINGTON,,,IAA,Big Sky,0,0,0,Big Sky Conference,
FLEW,EDWARD WATERS,,,NAIA,NAIA,,0,0,NAIA,
NCEC,ELIZABETH CITY STATE,,,D2,D2,,0,0,D2,
NCEL,ELON,,,IAA,CAA,0,0,0,Colonial Athletic Association,
INEV,EVANSVILLE,,,IAA,Pioneer,0,0,0,Pioneer Football League,
CTFA,FAIRFIELD,,,IAA,Northeast,0,0,0,Northeast Conference,
NCFA,FAYETTEVILLE STATE,,,D2,D2,,0,0,D2,
FLAM,FLORIDA A&M,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
FLTC,FLORIDA TECH,,,D2,D2,,0,0,D2,
NYFO,FORDHAM,,,IAA,Patriot,0,0,0,Patriot League,
INFR,FRANKLIN,,,D3,D3,,0,0,D3,
SCFU,FURMAN,,,IAA,Southern,0,0,0,Southern Conference,
NCGW,GARDNER-WEBB,,,IAA,Big South,0,0,0,Big South Conference,
GB,GB,,,NFC NORTH,NFC,1,0,0,NFC,
DCGT,GEORGETOWN-DC,,,IAA,Patriot,0,0,0,Patriot League,
LAGR,GRAMBLING,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
